FTSE Emerging Markets UCITS ETF - (USD) Accumulating (VFEA)
As of 31 July 2020
Holding name,% of funds,Market value,Shares
Grupo Elektra SAB DE CV,"=""0.06025%""","$1,254,737","23,360.00"
UPL Ltd.,"=""0.06017%""","$1,253,202","196,079.00"
Maxis Bhd.,"=""0.05996%""","$1,248,750","999,000.00"
Far Eastern New Century Corp.,"=""0.05994%""","$1,248,272","1,428,418.00"
Hellenic Telecommunications Organization SA,"=""0.05987%""","$1,246,872","84,355.00"
IOI Corp. Bhd.,"=""0.05974%""","$1,244,161","1,151,800.00"
Axiata Group Bhd.,"=""0.05936%""","$1,236,302","1,638,100.00"
Absa Group Ltd.,"=""0.05919%""","$1,232,645","264,763.00"
Haitong Securities Co. Ltd. Class H,"=""0.05904%""","$1,229,650","1,323,616.00"
Godrej Consumer Products Ltd.,"=""0.05899%""","$1,228,550","132,848.00"
Huatai Securities Co. Ltd. Class H,"=""0.05874%""","$1,223,337","677,222.00"
Siam Cement PCL NVDR,"=""0.05870%""","$1,222,596","99,800.00"
Arab National Bank,"=""0.05822%""","$1,212,541","234,408.00"
China Unicom Hong Kong Ltd.,"=""0.05802%""","$1,208,454","2,168,000.00"
Saudi Electricity Co.,"=""0.05802%""","$1,208,348","289,017.00"
Great Wall Motor Co. Ltd. Class H,"=""0.05792%""","$1,206,285","1,235,000.00"
Unilever Indonesia Tbk PT,"=""0.05768%""","$1,201,373","2,088,100.00"
Muyuan Foodstuff Co. Ltd. Class A,"=""0.05762%""","$1,200,040","91,528.00"
Wistron Corp.,"=""0.05762%""","$1,200,082","1,019,009.00"
Industrial Bank Co. Ltd. Class A,"=""0.05748%""","$1,197,183","533,400.00"
Savola Group,"=""0.05684%""","$1,183,689","95,469.00"
Oil & Natural Gas Corp. Ltd.,"=""0.05680%""","$1,182,847","1,130,163.00"
Industrial & Commercial Bank of China Ltd. Class A,"=""0.05665%""","$1,179,851","1,659,700.00"
Petrobras Distribuidora SA,"=""0.05656%""","$1,177,929","270,135.00"
Clicks Group Ltd.,"=""0.05651%""","$1,176,944","87,799.00"
Richter Gedeon Nyrt,"=""0.05644%""","$1,175,439","50,537.00"
Shenzhen Mindray Bio-Medical Electronics Co. Ltd. Class A,"=""0.05611%""","$1,168,644","23,499.00"
Ccr SA,"=""0.05607%""","$1,167,652","406,321.00"
Yanbu National Petrochemical Co.,"=""0.05595%""","$1,165,293","84,369.00"
Bajaj Finserv Ltd.,"=""0.05564%""","$1,158,766","13,969.00"
Adani Ports & Special Economic Zone Ltd.,"=""0.05557%""","$1,157,235","274,669.00"
Asia Cement Corp.,"=""0.05547%""","$1,155,148","847,046.00"
Centrais Eletricas Brasileiras SA,"=""0.05543%""","$1,154,515","162,701.00"
Old Mutual Ltd.,"=""0.05522%""","$1,150,129","1,707,521.00"
Bancolombia SA Preference Shares,"=""0.05514%""","$1,148,451","161,578.00"
Giant Manufacturing Co. Ltd.,"=""0.05512%""","$1,147,878","109,000.00"
Cez As,"=""0.05510%""","$1,147,461","57,091.00"
Ahli United Bank BSC,"=""0.05483%""","$1,142,012","1,864,777.00"
Globalwafers Co. Ltd.,"=""0.05458%""","$1,136,681","79,000.00"
