FTSE Developed World UCITS ETF - (USD) Distributing (VDEV)
As of 31 August 2020
Holding name,% of funds,Market value,Shares
Twilio Inc. Class A,"=""0.07395%""","$539,790","2,001.00"
NAVER Corp.,"=""0.07394%""","$539,717","1,988.00"
Infineon Technologies AG,"=""0.07390%""","$539,478","19,477.00"
Deutsche Boerse AG,"=""0.07311%""","$533,648","2,817.00"
Splunk Inc.,"=""0.07304%""","$533,191","2,431.00"
NXP Semiconductors NV,"=""0.07213%""","$526,557","4,187.00"
FANUC Corp.,"=""0.07210%""","$526,333","3,000.00"
Mizuho Financial Group Inc.,"=""0.07154%""","$522,206","385,100.00"
ITOCHU Corp.,"=""0.07142%""","$521,355","20,300.00"
SBA Communications Corp. Class A,"=""0.07124%""","$520,013","1,699.00"
Kone Oyj Class B,"=""0.07100%""","$518,252","6,032.00"
Cie Financiere Richemont SA,"=""0.07089%""","$517,462","7,797.00"
Intesa Sanpaolo SPA (Registered),"=""0.07075%""","$516,444","239,213.00"
O'Reilly Automotive Inc.,"=""0.07010%""","$511,727","1,099.00"
Sika AG,"=""0.07009%""","$511,642","2,127.00"
Murata Manufacturing Co. Ltd.,"=""0.06977%""","$509,293","8,600.00"
Experian plc,"=""0.06955%""","$507,715","13,591.00"
CoStar Group Inc.,"=""0.06894%""","$503,220",593.00
Samsung Electronics Co. Ltd. Preference Shares,"=""0.06888%""","$502,791","12,574.00"
Synopsys Inc.,"=""0.06882%""","$502,351","2,270.00"
Dow Inc.,"=""0.06865%""","$501,103","11,106.00"
Telefonaktiebolaget LM Ericsson Class B,"=""0.06855%""","$500,358","43,048.00"
Koninklijke Ahold Delhaize NV,"=""0.06821%""","$497,912","16,508.00"
IDEXX Laboratories Inc.,"=""0.06793%""","$495,864","1,268.00"
SMC Corp./Japan,"=""0.06772%""","$494,366",900.00
SK Hynix Inc.,"=""0.06752%""","$492,869","7,796.00"
ING Groep NV,"=""0.06695%""","$488,674","60,054.00"
Amphenol Corp. Class A,"=""0.06662%""","$486,304","4,429.00"
IHS Markit Ltd.,"=""0.06659%""","$486,073","6,082.00"
Ross Stores Inc.,"=""0.06640%""","$484,728","5,322.00"
T. Rowe Price Group Inc.,"=""0.06625%""","$483,616","3,474.00"
Public Storage,"=""0.06611%""","$482,573","2,272.00"
TE Connectivity Ltd.,"=""0.06572%""","$479,716","4,966.00"
Twitter Inc.,"=""0.06555%""","$478,479","11,791.00"
Fast Retailing Co. Ltd.,"=""0.06540%""","$477,382",800.00
KLA Corp.,"=""0.06523%""","$476,130","2,321.00"
NTT DOCOMO Inc.,"=""0.06498%""","$474,355","17,000.00"
Capital One Financial Corp.,"=""0.06482%""","$473,132","6,854.00"
Hitachi Ltd.,"=""0.06430%""","$469,357","14,100.00"
Monster Beverage Corp.,"=""0.06424%""","$468,945","5,592.00"
IQVIA Holdings Inc.,"=""0.06418%""","$468,489","2,861.00"
