FTSE All-World UCITS ETF - (USD) Distributing (VWRD)
As of 31 July 2020
Holding name,% of funds,Market value,Shares
Industria de Diseno Textil SA,"=""0.05481%""","$3,286,210","123,403.00"
Macquarie Group Ltd.,"=""0.05479%""","$3,285,253","37,096.00"
DSV Panalpina A/S,"=""0.05444%""","$3,264,060","23,713.00"
Orsted A/S,"=""0.05438%""","$3,260,603","22,794.00"
Alcon Inc.,"=""0.05423%""","$3,251,330","53,777.00"
Transurban Group,"=""0.05417%""","$3,247,806","327,934.00"
Waste Connections Inc.,"=""0.05404%""","$3,240,222","31,704.00"
Zimmer Biomet Holdings Inc.,"=""0.05385%""","$3,228,548","23,940.00"
Trane Technologies plc,"=""0.05375%""","$3,222,751","28,808.00"
EOG Resources Inc.,"=""0.05373%""","$3,221,547","68,763.00"
Tata Consultancy Services Ltd.,"=""0.05372%""","$3,221,055","105,626.00"
Twitter Inc.,"=""0.05369%""","$3,219,034","88,435.00"
Koninklijke DSM NV,"=""0.05348%""","$3,206,645","20,924.00"
Otis Worldwide Corp.,"=""0.05344%""","$3,204,006","51,068.00"
Yum! Brands Inc.,"=""0.05338%""","$3,200,681","35,153.00"
Kroger Co.,"=""0.05325%""","$3,192,330","91,760.00"
Phillips 66,"=""0.05319%""","$3,188,882","51,417.00"
Hindustan Unilever Ltd.,"=""0.05313%""","$3,185,239","107,831.00"
Nokia Oyj,"=""0.05273%""","$3,161,253","658,464.00"
