FTSE All-World High Dividend Yield UCITS ETF (USD)   Distributing (VHYL)

Holding details 
As at date 31 July 2020


Holding name,% of funds,Market value,Shares,
"=""Sun Hung Kai Properties Ltd.""","=""0.09445%""","=""$1,022,445""","=""83,500""",
"=""Cie de Saint-Gobain""","=""0.09378%""","=""$1,015,121""","=""27,541""",
"=""CK Hutchison Holdings Ltd.""","=""0.09369%""","=""$1,014,235""","=""155,500""",
"=""PTT PCL (Foreign)""","=""0.09301%""","=""$1,006,815""","=""805,000""",
"=""SSE plc""","=""0.09293%""","=""$1,005,908""","=""58,909""",
"=""Deutsche Wohnen SE""","=""0.09213%""","=""$997,278""","=""20,470""",
"=""China Life Insurance Co. Ltd. Class H""","=""0.09069%""","=""$981,699""","=""426,000""",
"=""Bridgestone Corp.""","=""0.09056%""","=""$980,318""","=""33,500""",
"=""Kellogg Co.""","=""0.09018%""","=""$976,140""","=""14,149""",
"=""CNOOC Ltd.""","=""0.08992%""","=""$973,394""","=""920,000""",
"=""Denso Corp.""","=""0.08855%""","=""$958,494""","=""26,200""",
"=""Legal & General Group plc""","=""0.08724%""","=""$944,335""","=""336,212""",
"=""Restaurant Brands International Inc.""","=""0.08697%""","=""$941,460""","=""16,670""",
"=""Amcor plc""","=""0.08680%""","=""$939,631""","=""90,925""",
"=""Coles Group Ltd.""","=""0.08656%""","=""$937,045""","=""71,911""",
"=""Swedbank AB Class A""","=""0.08506%""","=""$920,716""","=""56,703""",
"=""National Bank of Kuwait SAKP""","=""0.08476%""","=""$917,558""","=""355,103""",
"=""Dnb ASA""","=""0.08462%""","=""$916,057""","=""60,027""",
"=""Petroleo Brasileiro SA""","=""0.08428%""","=""$912,352""","=""209,230""",
"=""LyondellBasell Industries NV Class A""","=""0.08405%""","=""$909,791""","=""14,552""",
"=""Cardinal Health Inc.""","=""0.08382%""","=""$907,347""","=""16,612""",
"=""Canon Inc.""","=""0.08347%""","=""$903,547""","=""57,000""",
"=""Partners Group Holding AG""","=""0.08331%""","=""$901,833""","=""931""",
"=""National Bank of Canada""","=""0.08314%""","=""$899,996""","=""19,063""",
"=""Imperial Brands plc""","=""0.08295%""","=""$897,967""","=""53,618""",
"=""CLP Holdings Ltd.""","=""0.08268%""","=""$894,983""","=""94,500""",
"=""Novatek PJSC""","=""0.08235%""","=""$891,405""","=""60,580""",
"=""KBC Group NV""","=""0.08206%""","=""$888,274""","=""15,546""",
"=""FirstEnergy Corp.""","=""0.08185%""","=""$886,066""","=""30,554""",
"=""SGS SA-REG""","=""0.08134%""","=""$880,494""","=""335""",
"=""CK Asset Holdings Ltd.""","=""0.08056%""","=""$872,087""","=""157,000""",
"=""Saudi Telecom Co.""","=""0.08017%""","=""$867,787""","=""33,483""",
"=""Delta Electronics Inc.""","=""0.07963%""","=""$861,991""","=""126,258""",
"=""Northern Trust Corp.""","=""0.07881%""","=""$853,153""","=""10,889""",
"=""Kirin Holdings Co. Ltd.""","=""0.07820%""","=""$846,458""","=""44,000""",
"=""Hyundai Motor Co.""","=""0.07812%""","=""$845,598""","=""7,964""",
"=""Equinor ASA""","=""0.07770%""","=""$841,123""","=""56,861""",
"=""Evergy Inc.""","=""0.07654%""","=""$828,592""","=""12,781""",
"=""Las Vegas Sands Corp.""","=""0.07631%""","=""$826,018""","=""18,928""",
"=""Daiwa House Industry Co. Ltd.""","=""0.07620%""","=""$824,901""","=""37,400""",
"=""Chunghwa Telecom Co. Ltd.""","=""0.07528%""","=""$814,863""","=""218,000""",
"=""Rogers Communications Inc. Class B""","=""0.07462%""","=""$807,739""","=""19,780""",
"=""UPM-Kymmene Oyj""","=""0.07449%""","=""$806,385""","=""30,134""",
"=""ViacomCBS Inc. Class B""","=""0.07439%""","=""$805,276""","=""30,889""",
"=""Nomura Holdings Inc.""","=""0.07419%""","=""$803,121""","=""173,400""",
"=""Fifth Third Bancorp""","=""0.07410%""","=""$802,126""","=""40,389""",
"=""Svenska Handelsbanken AB Class A""","=""0.07316%""","=""$791,981""","=""83,656""",
"=""Woodside Petroleum Ltd.""","=""0.07272%""","=""$787,164""","=""54,854""",
"=""Skandinaviska Enskilda Banken AB Class A""","=""0.07245%""","=""$784,270""","=""81,021""",
"=""MMC Norilsk Nickel PJSC""","=""0.07203%""","=""$779,698""","=""2,945""",
"=""International Paper Co.""","=""0.07197%""","=""$779,052""","=""22,393""",
"=""Hennes & Mauritz AB Class B""","=""0.07167%""","=""$775,829""","=""49,936""",
"=""Aviva plc""","=""0.07131%""","=""$771,959""","=""223,041""",
"=""ORIX Corp.""","=""0.07127%""","=""$771,444""","=""71,800""",
"=""M&T Bank Corp.""","=""0.07105%""","=""$769,091""","=""7,259""",
"=""Singapore Telecommunications Ltd.""","=""0.07090%""","=""$767,529""","=""424,400""",
"=""Swisscom AG""","=""0.07084%""","=""$766,856""","=""1,436""",
"=""Formosa Plastics Corp.""","=""0.07062%""","=""$764,460""","=""285,280""",
"=""Pembina Pipeline Corp.""","=""0.07028%""","=""$760,788""","=""31,308""",
"=""Alliant Energy Corp.""","=""0.06985%""","=""$756,162""","=""14,042""",
"=""Saudi Arabian Oil Co.""","=""0.06959%""","=""$753,305""","=""85,612""",
"=""Standard Chartered plc""","=""0.06868%""","=""$743,462""","=""146,824""",
"=""EDP - Energias de Portugal SA""","=""0.06826%""","=""$738,882""","=""145,822""",
"=""Western Digital Corp.""","=""0.06804%""","=""$736,579""","=""17,090""",
"=""Synchrony Financial""","=""0.06771%""","=""$732,990""","=""33,122""",
"=""National Commercial Bank""","=""0.06752%""","=""$730,859""","=""75,510""",
"=""Magna International Inc.""","=""0.06735%""","=""$729,101""","=""15,775""",
"=""Japan Exchange Group Inc.""","=""0.06706%""","=""$725,906""","=""30,700""",
"=""Occidental Petroleum Corp.""","=""0.06699%""","=""$725,142""","=""46,070""",
"=""First Abu Dhabi Bank PJSC""","=""0.06692%""","=""$724,448""","=""243,682""",
"=""Hewlett Packard Enterprise Co.""","=""0.06679%""","=""$722,987""","=""73,251""",
"=""Sumitomo Corp.""","=""0.06665%""","=""$721,498""","=""65,200""",
"=""Dai-ichi Life Holdings Inc.""","=""0.06663%""","=""$721,271""","=""62,000""",
"=""Halliburton Co.""","=""0.06661%""","=""$721,043""","=""50,317""",
"=""Nucor Corp.""","=""0.06621%""","=""$716,758""","=""17,086""",
"=""BCE Inc.""","=""0.06608%""","=""$715,259""","=""17,060""",
"=""Genuine Parts Co.""","=""0.06602%""","=""$714,619""","=""7,927""",
"=""Public Bank Bhd. (Local)""","=""0.06578%""","=""$712,075""","=""177,600""",
"=""China Petroleum & Chemical Corp. Class H""","=""0.06561%""","=""$710,247""","=""1,658,000""",
"=""CH Robinson Worldwide Inc.""","=""0.06504%""","=""$704,025""","=""7,512""",
"=""Wal-Mart de Mexico SAB de CV""","=""0.06454%""","=""$698,652""","=""296,000""",
"=""ONEOK Inc.""","=""0.06421%""","=""$695,099""","=""24,905""",
"=""CTBC Financial Holding Co. Ltd.""","=""0.06399%""","=""$692,682""","=""1,045,967""",
"=""Swiss Life Holding AG""","=""0.06376%""","=""$690,172""","=""1,886""",
"=""Mega Financial Holding Co. Ltd.""","=""0.06355%""","=""$687,914""","=""622,940""",
"=""Nan Ya Plastics Corp.""","=""0.06341%""","=""$686,388""","=""329,090""",
